"File: N:\Ca imaging data\2023 imaging data\2023-02 Feb imaging data\2023-0203 22NSAPR124 Takeda Boston\LOGs\EXP01 with bg sub.LOG"
"Date: Fri Feb 3 2023 15:34:10.208"
60.47, 0.00, 0.00, 0.00, 5644.94, 38889.89, 0.15, 1331.85, 5850.57, 0.23, 1694.00, 9446.30, 0.19, 2252.76, 9495.56, 0.24, 5171.67, 31197.37, 0.17, 6308.03, 39944.50, 0.16, 2145.73, 9968.08, 0.22, 1812.83, 8138.34, 0.22, 2652.44, 13900.57, 0.19, 1580.45, 7732.70, 0.21, 904.18, 4960.32, 0.19, 624.98, 1711.10, 0.39, 533.55, 1821.16, 0.32, 1008.13, 5558.53, 0.18, 1004.07, 5264.26, 0.19, 786.96, 3726.49, 0.22, 3604.14, 15076.86, 0.25, 1380.00, 7182.45, 0.19, 1757.14, 10114.03, 0.19, 1306.01, 5396.79, 0.23, 1455.58, 5393.45, 0.28, 2502.07, 5207.67, 0.49, 3377.80, 7377.12, 0.46, 414.69, 1529.61, 0.27, 2245.35, 10534.77, 0.22
66.47, 0.00, 0.00, 0.00, 5653.44, 38843.07, 0.15, 1337.90, 5843.27, 0.23, 1697.10, 9440.41, 0.19, 2259.57, 9473.61, 0.24, 5188.83, 31222.20, 0.17, 6323.84, 39886.52, 0.16, 2151.85, 9977.37, 0.22, 1818.12, 8139.28, 0.22, 2659.55, 13888.13, 0.19, 1588.06, 7678.18, 0.21, 909.05, 4958.90, 0.19, 629.45, 1704.89, 0.40, 535.48, 1822.41, 0.32, 1009.77, 5560.35, 0.18, 1006.61, 5259.59, 0.19, 787.40, 3733.10, 0.22, 3621.21, 14904.48, 0.25, 1382.97, 7186.29, 0.19, 1770.07, 10052.53, 0.19, 1311.30, 5382.31, 0.23, 1460.00, 5395.93, 0.28, 2511.31, 5414.98, 0.47, 3388.80, 7375.19, 0.46, 414.56, 1526.94, 0.27, 2254.95, 10516.08, 0.22
72.47, 0.00, 0.00, 0.00, 5672.51, 38850.27, 0.15, 1344.17, 5820.00, 0.24, 1703.27, 9427.50, 0.19, 2271.51, 9430.32, 0.25, 5219.71, 31111.76, 0.17, 6341.03, 39943.55, 0.16, 2156.05, 9986.39, 0.22, 1825.21, 8128.51, 0.23, 2661.90, 13889.89, 0.19, 1589.91, 7757.11, 0.21, 911.79, 4957.20, 0.19, 630.39, 1711.80, 0.39, 537.20, 1826.16, 0.32, 1011.21, 5567.53, 0.18, 1008.75, 5271.20, 0.19, 789.17, 3728.25, 0.22, 3635.72, 14704.04, 0.26, 1387.63, 7195.05, 0.19, 1775.34, 10006.90, 0.19, 1313.31, 5384.81, 0.23, 1463.60, 5403.22, 0.28, 2526.86, 5399.70, 0.48, 3396.03, 7380.95, 0.46, 416.62, 1527.33, 0.27, 2261.55, 10546.84, 0.22
78.47, 0.00, 0.00, 0.00, 5680.06, 38797.75, 0.15, 1346.91, 5828.41, 0.24, 1703.69, 9370.80, 0.19, 2272.93, 9375.23, 0.25, 5220.32, 31086.28, 0.17, 6353.73, 39845.75, 0.16, 2163.61, 9946.47, 0.22, 1829.68, 8095.75, 0.23, 2662.43, 13866.60, 0.19, 1593.58, 7704.66, 0.21, 916.35, 4886.57, 0.19, 631.73, 1710.52, 0.40, 539.01, 1824.53, 0.32, 1015.31, 5549.09, 0.18, 1009.20, 5260.73, 0.19, 788.92, 3715.96, 0.22, 3638.65, 14616.73, 0.26, 1390.88, 7167.52, 0.19, 1782.23, 9973.78, 0.19, 1311.39, 5362.48, 0.23, 1464.30, 5397.58, 0.28, 2507.49, 5512.69, 0.46, 3406.00, 7353.66, 0.46, 416.80, 1513.83, 0.28, 2262.77, 10525.01, 0.22
84.47, 0.00, 0.00, 0.00, 5689.89, 38714.36, 0.15, 1347.64, 5834.95, 0.24, 1703.62, 9387.55, 0.20, 2271.92, 9385.86, 0.25, 5243.26, 30917.69, 0.17, 6376.09, 39859.71, 0.16, 2163.45, 9922.43, 0.22, 1832.87, 8093.57, 0.23, 2667.86, 13851.40, 0.19, 1595.03, 7687.08, 0.21, 918.11, 4896.55, 0.19, 631.47, 1710.83, 0.40, 542.20, 1824.55, 0.32, 1013.36, 5546.80, 0.18, 1012.89, 5245.21, 0.19, 790.79, 3717.25, 0.22, 3626.36, 14753.43, 0.26, 1393.39, 7169.99, 0.20, 1785.02, 9994.91, 0.19, 1312.22, 5356.04, 0.23, 1466.09, 5399.56, 0.28, 2538.06, 5058.38, 0.51, 3406.22, 7342.95, 0.46, 416.41, 1518.23, 0.28, 2267.86, 10510.68, 0.22
90.47, 0.00, 0.00, 0.00, 5700.26, 38742.61, 0.15, 1347.56, 5855.51, 0.24, 1701.89, 9393.81, 0.19, 2269.90, 9442.99, 0.25, 5251.20, 31006.97, 0.17, 6385.15, 39937.73, 0.16, 2167.14, 9951.54, 0.22, 1832.80, 8123.43, 0.23, 2667.97, 13873.14, 0.19, 1607.36, 7617.75, 0.22, 914.58, 4927.67, 0.19, 633.33, 1710.13, 0.40, 540.49, 1824.24, 0.32, 1017.51, 5553.89, 0.18, 1016.23, 5235.20, 0.19, 796.01, 3695.24, 0.22, 3626.19, 14692.12, 0.26, 1399.06, 7169.38, 0.20, 1790.31, 9971.82, 0.19, 1316.55, 5359.69, 0.24, 1466.59, 5401.69, 0.28, 2535.36, 5391.55, 0.48, 3411.64, 7352.96, 0.46, 418.06, 1519.65, 0.28, 2278.06, 10514.85, 0.22
96.47, 0.00, 0.00, 0.00, 5715.23, 38686.47, 0.15, 1353.31, 5836.16, 0.24, 1704.74, 9374.57, 0.19, 2271.11, 9451.87, 0.24, 5247.14, 31104.81, 0.17, 6401.48, 39996.86, 0.16, 2168.32, 9944.09, 0.22, 1835.99, 8125.28, 0.23, 2674.47, 13849.57, 0.19, 1600.21, 7701.23, 0.21, 913.67, 4933.22, 0.19, 634.73, 1708.40, 0.40, 543.46, 1823.05, 0.32, 1018.10, 5538.26, 0.18, 1017.52, 5244.15, 0.19, 792.99, 3708.21, 0.22, 3645.03, 14546.76, 0.27, 1399.68, 7169.77, 0.20, 1787.54, 9970.44, 0.19, 1315.97, 5354.13, 0.24, 1468.79, 5402.39, 0.28, 2503.88, 5446.79, 0.47, 3418.78, 7328.69, 0.47, 417.60, 1512.03, 0.28, 2282.40, 10534.13, 0.22
102.47, 0.00, 0.00, 0.00, 5723.27, 38782.65, 0.15, 1354.85, 5831.94, 0.24, 1704.00, 9382.74, 0.19, 2270.48, 9471.12, 0.24, 5252.57, 31184.32, 0.17, 6407.32, 40043.09, 0.16, 2171.67, 9950.31, 0.22, 1835.48, 8131.36, 0.23, 2669.17, 13879.01, 0.19, 1608.42, 7710.32, 0.21, 914.56, 4941.54, 0.19, 635.60, 1712.99, 0.40, 543.43, 1831.81, 0.32, 1020.52, 5557.06, 0.18, 1017.87, 5254.98, 0.19, 792.49, 3716.58, 0.22, 3641.63, 14572.35, 0.26, 1399.13, 7186.63, 0.20, 1791.57, 9969.55, 0.19, 1318.01, 5360.95, 0.24, 1471.34, 5420.73, 0.28, 2559.78, 5176.73, 0.50, 3418.66, 7366.68, 0.46, 419.39, 1513.68, 0.28, 2282.59, 10522.88, 0.22
108.47, 0.00, 0.00, 0.00, 5722.30, 38619.17, 0.15, 1356.86, 5821.19, 0.25, 1705.68, 9334.92, 0.20, 2269.63, 9449.48, 0.24, 5257.86, 31083.83, 0.17, 6409.07, 39861.34, 0.16, 2172.36, 9920.10, 0.22, 1840.38, 8100.12, 0.23, 2678.04, 13852.09, 0.19, 1611.02, 7708.17, 0.21, 918.61, 4885.67, 0.19, 633.16, 1717.28, 0.40, 544.58, 1824.29, 0.33, 1020.35, 5536.31, 0.18, 1017.60, 5243.84, 0.19, 794.81, 3701.61, 0.22, 3650.11, 14545.83, 0.26, 1405.22, 7138.98, 0.20, 1789.99, 9958.85, 0.19, 1319.87, 5334.70, 0.24, 1475.63, 5413.07, 0.28, 2539.60, 5429.76, 0.48, 3420.59, 7345.44, 0.47, 418.65, 1519.03, 0.28, 2281.78, 10514.35, 0.22
114.47, 0.00, 0.00, 0.00, 5726.35, 38578.22, 0.15, 1357.50, 5832.38, 0.24, 1704.57, 9320.65, 0.20, 2269.31, 9445.35, 0.24, 5272.84, 31032.52, 0.17, 6410.68, 39901.71, 0.16, 2172.39, 9913.41, 0.22, 1838.72, 8100.60, 0.23, 2676.40, 13839.14, 0.19, 1613.59, 7670.81, 0.22, 915.51, 4903.38, 0.19, 634.49, 1722.22, 0.40, 545.01, 1828.43, 0.32, 1021.10, 5547.80, 0.18, 1018.58, 5238.56, 0.20, 796.82, 3695.69, 0.22, 3651.84, 14528.59, 0.27, 1406.37, 7136.43, 0.20, 1786.09, 9991.31, 0.19, 1321.56, 5320.46, 0.24, 1473.78, 5413.24, 0.28, 2531.64, 5253.31, 0.49, 3421.62, 7349.87, 0.47, 419.16, 1514.68, 0.28, 2286.31, 10540.25, 0.22
